propertyID,address,yearBuilt,type,size,baNo,brNo,des_text
97579584,"(""15 Central Park West 3C"",""New York"",""NY"",10023,""Upper West Side"")",2007,condo,2532,3,2,"This building has laundry in unit. Built in 2007, it has elevators and includes dishwasher, dryer and washer in units. It has a pool with 202 units in total. Also has a doorman. "
33291296,"(""100 Riverside Blvd 9B"",""New York"",""NY"",10069,""Upper West Side"")",2012,condo,814,1,1,"Move in to this beautiful, spacious one-bedroom apartment featuring floor-to-ceiling windows and hardwood floors throughout. The gourmet pass-through kitchen--with Sub Zero refrigerator and Miele appliances--has ample room for a cozy breakfast nook. Other unit amenities include a handsome bathroom with soaking tub and separate shower stall, generous closet space, and a washer/dryer."
17994859,"(""225 East 19th Street 201"",""New York"",""NY"",10003,""Kips Bay"")",2016,condo,830,1,1,"Located at 225 East 19th Street, The Prewar offers a distinct collection of 48 studio-to-three bedroom residences. Featuring a handsome Indiana limestone facade constructed in 1931 and traditional interiors, The Prewar's design hallmarks include charming layouts and a bright contemporary palette of finishes. "
24001227,"(""173-175 Riverside Drive 11D"",""New York"",""NY"",10024,""Upper West Side"")",2018,co-op,3000,4,3,"173-175 Riverside Dr # 1X, New York, NY is a cooperative home that contains 825 sq ft and was built in 1926. It contains 1 bedroom and 1 bathroom. This home last sold for $595,000 in April 2010. "
15003036,"(""80 John Street 14C"",""New York"",""NY"",10038,""Two Bridges"")",2005,condo,687,1,0,"Loft-like split 2 bed + 2 bath at 80 John Street, the South Star Condo. This is one of the best 2 bed layouts in the building, and features 10' 8"" high beamed ceilings, huge oversized windows, open kitchen with breakfast bar, tons of custom Elfa closets, new lighting and tasteful new designer upgrades throughout. "
73586855,"(""139 Norfolk Street N/A"",""New York"",""NY"",10002,""East Village"")",2014,co-op,500,1,1,"An awesome 1bedroom in the heart of Lower East Side. Apartment features,Stainlees steel appliances, viking range,modern cermaic tile kitchen floor,high-end marble cabrerra countertop & backsplash.Open style kitchen with a breakfast bar & throughout the apartment it features wood floors.A king size bedroom with brick exposure,2 closets & eastern sunlight.The modern bathroom was renovated with marble tile. Best of all maintenance is only $400 & it includes heat & hot water.To schedule an appt please call,txt or email at 917 833-2549"
61257938,"(""246 East 51st Street 22"",""New York"",""NY"",10022,""Midtown East"")",2013,co-op,575,1,1,This a great building
31712945,"(""520 East 72nd Street 3E"",""New York"",""NY"",10021,""Upper East Side"")",2012,co-op,450,1,0,"Nestled on a quiet, tree-lined cul-de-sac overlooking the East River and with easy access to two pocket parks and the East River Promenade, 520 East 72nd Street is a Full-service upper east side co-op offering top-of-the-line amenities including 24-hour doorman/concierge, a live-in resident manager, a garage, laundry facility, a bike room, building link, a library and a Zen-garden. Brand New Lobby and Hallway carpeting. Non-smoking building. Co-purchasers, guarantors, pied-a-terres and subletting (after two years, for two years out of ten) are all allowed. Pets welcome! 242 Units. Built in 1963. Co-op permits financing of up to 70%. Convenient to the Second Avenue Subway, two bus routes on the corner (72nd Street Cross-town and the M31 to 57th Street and the Westside), shopping and recreational facilities. Citi Bikes on corner."
76343718,"(""100 Barclay st unit penthouse"",""New York"",""NY"",10007,""World Trade Center"")",2018,condo,14539,7,9,"The residence conveniently features a laundry room with washer and vented dryer by LG, as well as built-in cabinets and sink. No detail was overlooked in the design of this residence with a multi-zone heating and cooling system that carefully controls the interior climate throughout. "
17457573,"(""Atelier,635 West 42nd St,44H - Clinton"",""New York"",""NY"",10036,""Hell's Kitchen"")",2007,condo,900,1,1,"The ATELIER SALES OFFICE - Call us at 212-563-6635 for an immediate appointment. The Atelier has become a Manhattan luxury landmark. Many celebrities call Atelier their home. All of our units are one of a kind. each has breathtaking unobstructed double exposure city and river views from floor to ceiling windows. The apartments feature stainless steel Bosch (dish washer, W/D, stove and microwave) and Sub Zero ( Fridge) appliances, white oak flooring , granite countertops in kitchen , marble bathrooms , washer/dryer in the unit , walk-in closets with white oak and glass pantries. The building amenities are 24-hour concierge/valet, tennis court, golf driving range , large lap swimming pool , sauna, residents' multi-media lounge and billiards room on the 47th floor, valet services ( laundry and dry cleaning on site) , state-of-the-art fitness center , yoga/pilates studio , fully-landscaped terraces/sundeck , building-wide wireless Internet system , on-site storage available , bike storage , pet friendly , valet parking available , basketball courts, bocci ball , free bicycle Usage , BBQ Grills , free daily breakfast and a cross town shuttle bus."
